,index,studyName,eventNum,cast,bottle,datetime,stationID,gridLine,gridStation,lat,lon,percentIrradiance,depth,PO4,SiO4,NO2,NO3,NH4,Nitrite,notes,year,month,second
24,7705,LMG00-01,78.0,,11.0,2000-01-10 01:39:00,600.600,599.03,59.86,-64.81464,-64.71656999999999,-999.0,74.7,2.06,96.44,0.11,31.28,0.27,-999.0,,2000,1,0
25,7706,LMG00-01,78.0,,10.0,2000-01-10 01:39:00,600.600,599.03,59.86,-64.81464,-64.71656999999999,-999.0,124.3,2.13,100.4,0.08,32.8,0.07,-999.0,,2000,1,0
26,7707,LMG00-01,78.0,,9.0,2000-01-10 01:39:00,600.600,599.03,59.86,-64.81464,-64.71656999999999,-999.0,163.7,2.14,101.57,0.08,33.0,0.08,-999.0,,2000,1,0
27,7708,LMG00-01,90.0,,23.0,2000-01-10 09:25:00,600.800,600.00,80.04,-64.69528000000001,-65.03036,100.0,2.6,1.37,83.36,0.14,18.96,1.2,-999.0,,2000,1,0
28,7709,LMG00-01,90.0,,21.0,2000-01-10 09:25:00,600.800,600.00,80.04,-64.69528000000001,-65.03036,60.0,6.1,1.37,83.05,0.14,19.16,1.21,-999.0,,2000,1,0
29,7710,LMG00-01,90.0,,19.0,2000-01-10 09:25:00,600.800,600.00,80.04,-64.69528000000001,-65.03036,30.0,8.6,1.41,82.89,0.13,19.67,1.22,-999.0,,2000,1,0
30,7711,LMG00-01,90.0,,17.0,2000-01-10 09:25:00,600.800,600.00,80.04,-64.69528000000001,-65.03036,10.0,14.9,1.48,82.74,0.12,20.8,1.24,-999.0,,2000,1,0
31,7712,LMG00-01,90.0,,15.0,2000-01-10 09:25:00,600.800,600.00,80.04,-64.69528000000001,-65.03036,5.0,16.9,1.56,82.58,0.11,22.16,1.15,-999.0,,2000,1,0
32,7713,LMG00-01,90.0,,13.0,2000-01-10 09:25:00,600.800,600.00,80.04,-64.69528000000001,-65.03036,1.0,26.2,1.69,81.44,0.1,24.85,0.81,-999.0,,2000,1,0
33,7714,LMG00-01,90.0,,11.0,2000-01-10 09:25:00,600.800,600.00,80.04,-64.69528000000001,-65.03036,-999.0,37.5,1.89,85.4,0.14,28.57,0.27,-999.0,,2000,1,0
34,7715,LMG00-01,90.0,,10.0,2000-01-10 09:25:00,600.800,600.00,80.04,-64.69528000000001,-65.03036,-999.0,49.6,2.12,95.28,0.12,32.41,0.02,-999.0,,2000,1,0
35,7716,LMG00-01,90.0,,9.0,2000-01-10 09:25:00,600.800,600.00,80.04,-64.69528000000001,-65.03036,-999.0,74.1,2.16,98.75,0.04,33.25,0.01,-999.0,,2000,1,0
36,7717,LMG00-01,90.0,,8.0,2000-01-10 09:25:00,600.800,600.00,80.04,-64.69528000000001,-65.03036,-999.0,100.5,2.12,96.13,0.07,32.76,0.01,-999.0,,2000,1,0
37,7718,LMG00-01,90.0,,7.0,2000-01-10 09:25:00,600.800,600.00,80.04,-64.69528000000001,-65.03036,-999.0,123.4,2.13,97.95,0.01,33.02,0.02,-999.0,,2000,1,0
38,7719,LMG00-01,90.0,,6.0,2000-01-10 09:25:00,600.800,600.00,80.04,-64.69528000000001,-65.03036,-999.0,150.2,2.14,99.27,0.01,33.26,0.01,-999.0,,2000,1,0
39,7720,LMG00-01,90.0,,5.0,2000-01-10 09:25:00,600.800,600.00,80.04,-64.69528000000001,-65.03036,-999.0,175.5,2.15,100.27,0.01,33.31,0.01,-999.0,,2000,1,0
40,7721,LMG00-01,90.0,,4.0,2000-01-10 09:25:00,600.800,600.00,80.04,-64.69528000000001,-65.03036,-999.0,200.2,2.14,100.77,0.01,33.23,0.0,-999.0,,2000,1,0
41,7722,LMG00-01,90.0,,3.0,2000-01-10 09:25:00,600.800,600.00,80.04,-64.69528000000001,-65.03036,-999.0,300.3,2.13,102.59,0.01,33.19,0.01,-999.0,,2000,1,0
42,7723,LMG00-01,90.0,,2.0,2000-01-10 09:25:00,600.800,600.00,80.04,-64.69528000000001,-65.03036,-999.0,398.3,2.15,106.55,0.02,33.06,0.0,-999.0,,2000,1,0
43,7724,LMG00-01,90.0,,1.0,2000-01-10 09:25:00,600.800,600.00,80.04,-64.69528000000001,-65.03036,-999.0,508.4,2.13,108.53,0.04,32.86,0.04,-999.0,,2000,1,0
44,7725,LMG00-01,104.0,,23.0,2000-01-10 15:14:00,600.100,600.02,100.19,-64.57526999999999,-65.34139,100.0,6.7,1.49,82.36,0.14,19.47,1.31,-999.0,,2000,1,0
45,7726,LMG00-01,104.0,,21.0,2000-01-10 15:14:00,600.100,600.02,100.19,-64.57526999999999,-65.34139,60.0,11.4,1.5,81.44,0.14,19.57,1.42,-999.0,,2000,1,0
46,7727,LMG00-01,104.0,,19.0,2000-01-10 15:14:00,600.100,600.02,100.19,-64.57526999999999,-65.34139,30.0,14.1,1.58,81.02,0.13,20.2,2.1,-999.0,,2000,1,0
47,7728,LMG00-01,104.0,,17.0,2000-01-10 15:14:00,600.100,600.02,100.19,-64.57526999999999,-65.34139,10.0,22.6,1.66,81.74,0.11,22.25,1.57,-999.0,,2000,1,0
48,7729,LMG00-01,104.0,,15.0,2000-01-10 15:14:00,600.100,600.02,100.19,-64.57526999999999,-65.34139,5.0,31.4,1.91,84.61,0.11,26.98,0.73,-999.0,,2000,1,0
49,7730,LMG00-01,104.0,,13.0,2000-01-10 15:14:00,600.100,600.02,100.19,-64.57526999999999,-65.34139,1.0,52.8,2.07,87.96,0.14,30.25,0.26,-999.0,,2000,1,0
50,7731,LMG00-01,104.0,,12.0,2000-01-10 15:14:00,600.100,600.02,100.19,-64.57526999999999,-65.34139,-999.0,74.6,2.17,90.66,0.11,32.27,0.05,-999.0,,2000,1,0
51,7732,LMG00-01,104.0,,11.0,2000-01-10 15:14:00,600.100,600.02,100.19,-64.57526999999999,-65.34139,-999.0,99.8,2.17,92.04,0.03,32.87,0.05,-999.0,,2000,1,0
52,7733,LMG00-01,104.0,,10.0,2000-01-10 15:14:00,600.100,600.02,100.19,-64.57526999999999,-65.34139,-999.0,148.9,2.19,96.05,0.01,33.31,0.07,-999.0,,2000,1,0
53,7734,LMG00-01,104.0,,9.0,2000-01-10 15:14:00,600.100,600.02,100.19,-64.57526999999999,-65.34139,-999.0,201.7,2.19,99.72,0.01,33.55,0.07,-999.0,,2000,1,0
54,7735,LMG00-01,104.0,,7.0,2000-01-10 15:14:00,600.100,600.02,100.19,-64.57526999999999,-65.34139,-999.0,300.8,2.2,108.22,0.01,33.22,0.0,-999.0,,2000,1,0
55,7736,LMG00-01,104.0,,1.0,2000-01-10 15:14:00,600.100,600.02,100.19,-64.57526999999999,-65.34139,-999.0,608.0,2.18,103.07,0.01,33.45,0.0,-999.0,Matched  bottle number on depth and irradiance from the log file.,2000,1,0
56,7737,LMG00-01,111.0,,23.0,2000-01-10 17:15:00,600.120,597.75,117.77,-64.45461,-65.64968,100.0,2.6,1.56,79.02,0.12,22.07,1.5,-999.0,,2000,1,0
57,7738,LMG00-01,111.0,,21.0,2000-01-10 17:15:00,600.120,597.75,117.77,-64.45461,-65.64968,60.0,7.9,1.57,79.25,0.13,22.06,1.57,-999.0,,2000,1,0
58,7739,LMG00-01,111.0,,19.0,2000-01-10 17:15:00,600.120,597.75,117.77,-64.45461,-65.64968,30.0,10.7,1.58,79.49,0.12,22.12,1.5,-999.0,,2000,1,0
59,7740,LMG00-01,111.0,,17.0,2000-01-10 17:15:00,600.120,597.75,117.77,-64.45461,-65.64968,10.0,15.5,1.57,79.72,0.12,22.12,1.45,-999.0,,2000,1,0
60,7741,LMG00-01,111.0,,15.0,2000-01-10 17:15:00,600.120,597.75,117.77,-64.45461,-65.64968,5.0,19.2,1.58,79.95,0.12,22.12,1.44,-999.0,,2000,1,0
61,7742,LMG00-01,111.0,,13.0,2000-01-10 17:15:00,600.120,597.75,117.77,-64.45461,-65.64968,1.0,26.4,1.6,80.34,0.12,22.27,1.5,-999.0,,2000,1,0
62,7743,LMG00-01,111.0,,11.0,2000-01-10 17:15:00,600.120,597.75,117.77,-64.45461,-65.64968,-999.0,43.9,1.72,81.07,0.11,24.03,1.24,-999.0,Matched bottle number based on closest depth value from the log file. ,2000,1,0
63,7744,LMG00-01,111.0,,10.0,2000-01-10 17:15:00,600.120,597.75,117.77,-64.45461,-65.64968,-999.0,60.3,2.09,88.2,0.22,31.43,0.05,-999.0,Matched bottle number based on closest depth value from the log file. ,2000,1,0
64,7745,LMG00-01,111.0,,9.0,2000-01-10 17:15:00,600.120,597.75,117.77,-64.45461,-65.64968,-999.0,99.3,2.16,93.03,0.07,32.94,0.05,-999.0,Matched bottle number based on closest depth value from the log file. ,2000,1,0
65,7746,LMG00-01,111.0,,8.0,2000-01-10 17:15:00,600.120,597.75,117.77,-64.45461,-65.64968,-999.0,148.9,2.2,96.21,0.01,33.43,0.05,-999.0,Matched bottle number based on closest depth value from the log file. ,2000,1,0
66,7747,LMG00-01,111.0,,7.0,2000-01-10 17:15:00,600.120,597.75,117.77,-64.45461,-65.64968,-999.0,199.3,2.21,100.38,0.01,33.53,0.05,-999.0,Matched bottle number based on closest depth value from the log file. ,2000,1,0
67,7748,LMG00-01,111.0,,6.0,2000-01-10 17:15:00,600.120,597.75,117.77,-64.45461,-65.64968,-999.0,320.0,2.2,104.55,0.01,33.48,0.0,-999.0,Matched bottle number based on closest depth value from the log file. ,2000,1,0
68,7749,LMG00-01,111.0,,5.0,2000-01-10 17:15:00,600.120,597.75,117.77,-64.45461,-65.64968,-999.0,523.8,2.19,109.53,0.04,33.03,0.07,-999.0,Matched bottle number based on closest depth value from the log file. ,2000,1,0
69,7750,LMG00-01,122.0,,23.0,2000-01-10 22:19:00,600.140,599.97,140.09,-64.33333,-65.95526,100.0,2.6,1.57,74.85,0.15,22.77,1.2,-999.0,,2000,1,0
70,7751,LMG00-01,122.0,,21.0,2000-01-10 22:19:00,600.140,599.97,140.09,-64.33333,-65.95526,60.0,6.4,1.57,75.33,0.14,22.77,1.19,-999.0,,2000,1,0
71,7752,LMG00-01,122.0,,19.0,2000-01-10 22:19:00,600.140,599.97,140.09,-64.33333,-65.95526,30.0,12.4,1.57,75.33,0.14,22.83,1.13,-999.0,,2000,1,0
72,7753,LMG00-01,122.0,,17.0,2000-01-10 22:19:00,600.140,599.97,140.09,-64.33333,-65.95526,10.0,22.2,1.59,76.46,0.14,22.83,1.21,-999.0,,2000,1,0
73,7754,LMG00-01,122.0,,15.0,2000-01-10 22:19:00,600.140,599.97,140.09,-64.33333,-65.95526,5.0,29.4,1.67,80.19,0.11,24.01,0.85,-999.0,,2000,1,0
74,7755,LMG00-01,122.0,,13.0,2000-01-10 22:19:00,600.140,599.97,140.09,-64.33333,-65.95526,1.0,49.7,1.93,80.67,0.16,28.71,0.32,-999.0,,2000,1,0
75,7756,LMG00-01,122.0,,12.0,2000-01-10 22:19:00,600.140,599.97,140.09,-64.33333,-65.95526,-999.0,74.6,2.12,87.79,0.15,32.47,0.01,-999.0,,2000,1,0
76,7757,LMG00-01,122.0,,11.0,2000-01-10 22:19:00,600.140,599.97,140.09,-64.33333,-65.95526,-999.0,99.0,2.17,94.91,0.07,32.89,0.04,-999.0,,2000,1,0
77,7758,LMG00-01,122.0,,10.0,2000-01-10 22:19:00,600.140,599.97,140.09,-64.33333,-65.95526,-999.0,149.9,2.2,99.6,0.03,33.46,0.02,-999.0,,2000,1,0
78,7759,LMG00-01,122.0,,9.0,2000-01-10 22:19:00,600.140,599.97,140.09,-64.33333,-65.95526,-999.0,199.3,2.2,102.35,0.03,33.42,0.0,-999.0,,2000,1,0
79,7760,LMG00-01,122.0,,8.0,2000-01-10 22:19:00,600.140,599.97,140.09,-64.33333,-65.95526,-999.0,249.6,2.18,106.56,0.03,33.15,0.05,-999.0,,2000,1,0
80,7761,LMG00-01,122.0,,7.0,2000-01-10 22:19:00,600.140,599.97,140.09,-64.33333,-65.95526,-999.0,313.0,2.2,105.42,0.03,33.33,0.02,-999.0,,2000,1,0
81,7762,LMG00-01,138.0,,23.0,2000-01-11 09:25:00,600.160,600.02,159.88,-64.21141999999999,-66.25815,100.0,2.6,1.52,71.92,0.13,21.9,0.78,-999.0,,2000,1,0
82,7763,LMG00-01,138.0,,21.0,2000-01-11 09:25:00,600.160,600.02,159.88,-64.21141999999999,-66.25815,60.0,6.6,1.52,70.94,0.13,21.86,0.82,-999.0,,2000,1,0
83,7764,LMG00-01,138.0,,19.0,2000-01-11 09:25:00,600.160,600.02,159.88,-64.21141999999999,-66.25815,30.0,10.7,1.54,58.11,0.13,21.91,0.78,-999.0,,2000,1,0
84,7765,LMG00-01,138.0,,17.0,2000-01-11 09:25:00,600.160,600.02,159.88,-64.21141999999999,-66.25815,10.0,19.8,1.55,61.96,0.1,22.52,0.68,-999.0,,2000,1,0
85,7766,LMG00-01,138.0,,15.0,2000-01-11 09:25:00,600.160,600.02,159.88,-64.21141999999999,-66.25815,5.0,28.7,1.58,65.23,0.1,23.34,0.43,-999.0,,2000,1,0
86,7767,LMG00-01,138.0,,13.0,2000-01-11 09:25:00,600.160,600.02,159.88,-64.21141999999999,-66.25815,1.0,46.7,1.76,69.67,0.12,25.72,0.41,-999.0,,2000,1,0
87,7768,LMG00-01,138.0,,11.0,2000-01-11 09:25:00,600.160,600.02,159.88,-64.21141999999999,-66.25815,-999.0,64.9,1.96,76.3,0.16,29.53,0.28,-999.0,,2000,1,0
88,7769,LMG00-01,138.0,,10.0,2000-01-11 09:25:00,600.160,600.02,159.88,-64.21141999999999,-66.25815,-999.0,74.9,2.07,82.79,0.19,31.44,0.03,-999.0,,2000,1,0
89,7770,LMG00-01,138.0,,9.0,2000-01-11 09:25:00,600.160,600.02,159.88,-64.21141999999999,-66.25815,-999.0,98.5,2.19,89.14,0.1,33.22,0.04,-999.0,,2000,1,0
90,7771,LMG00-01,138.0,,8.0,2000-01-11 09:25:00,600.160,600.02,159.88,-64.21141999999999,-66.25815,-999.0,149.3,2.21,94.03,0.03,34.5,0.03,-999.0,,2000,1,0
91,7772,LMG00-01,138.0,,7.0,2000-01-11 09:25:00,600.160,600.02,159.88,-64.21141999999999,-66.25815,-999.0,200.7,2.19,98.47,0.03,34.21,0.02,-999.0,,2000,1,0
92,7773,LMG00-01,138.0,,6.0,2000-01-11 09:25:00,600.160,600.02,159.88,-64.21141999999999,-66.25815,-999.0,409.6,2.13,105.27,0.03,33.39,0.01,-999.0,Matched bottle number based on closest depth value from the log file. ,2000,1,0
93,7774,LMG00-01,150.0,,23.0,2000-01-11 13:24:00,600.180,600.09,180.06,-64.0889,-66.55838,100.0,3.9,1.5,55.48,0.1,22.29,0.71,-999.0,,2000,1,0
94,7775,LMG00-01,150.0,,21.0,2000-01-11 13:24:00,600.180,600.09,180.06,-64.0889,-66.55838,60.0,11.6,1.5,55.67,0.1,22.34,0.69,-999.0,,2000,1,0
95,7776,LMG00-01,150.0,,19.0,2000-01-11 13:24:00,600.180,600.09,180.06,-64.0889,-66.55838,30.0,22.3,1.51,53.53,0.1,22.53,0.58,-999.0,,2000,1,0
96,7777,LMG00-01,150.0,,17.0,2000-01-11 13:24:00,600.180,600.09,180.06,-64.0889,-66.55838,10.0,40.5,1.57,50.94,0.12,23.71,0.38,-999.0,,2000,1,0
97,7778,LMG00-01,150.0,,15.0,2000-01-11 13:24:00,600.180,600.09,180.06,-64.0889,-66.55838,5.0,53.0,1.62,52.45,0.12,24.39,0.39,-999.0,,2000,1,0
98,7779,LMG00-01,150.0,,13.0,2000-01-11 13:24:00,600.180,600.09,180.06,-64.0889,-66.55838,1.0,66.4,1.71,55.43,0.12,25.4,0.38,-999.0,,2000,1,0
99,7780,LMG00-01,150.0,,12.0,2000-01-11 13:24:00,600.180,600.09,180.06,-64.0889,-66.55838,-999.0,98.7,2.02,73.5,0.13,30.75,0.12,-999.0,,2000,1,0
100,7781,LMG00-01,150.0,,11.0,2000-01-11 13:24:00,600.180,600.09,180.06,-64.0889,-66.55838,-999.0,197.9,2.19,96.6,0.02,33.95,0.04,-999.0,Matched bottle number based on closestt depth value from the log file. ,2000,1,0
101,7782,LMG00-01,150.0,,10.0,2000-01-11 13:24:00,600.180,600.09,180.06,-64.0889,-66.55838,-999.0,298.6,2.19,95.17,0.01,34.15,0.02,-999.0,Matched bottle number based on closestt depth value from the log file. ,2000,1,0
102,7783,LMG00-01,150.0,,9.0,2000-01-11 13:24:00,600.180,600.09,180.06,-64.0889,-66.55838,-999.0,500.1,2.12,99.92,0.01,32.99,0.03,-999.0,Matched bottle number based on closestt depth value from the log file. ,2000,1,0
103,7784,LMG00-01,150.0,,8.0,2000-01-11 13:24:00,600.180,600.09,180.06,-64.0889,-66.55838,-999.0,999.5,2.12,115.86,0.01,32.81,0.01,-999.0,Matched bottle number based on closestt depth value from the log file. ,2000,1,0
104,7785,LMG00-01,150.0,,7.0,2000-01-11 13:24:00,600.180,600.09,180.06,-64.0889,-66.55838,-999.0,1497.7,2.14,125.19,0.01,33.19,0.01,-999.0,Matched bottle number based on closestt depth value from the log file. ,2000,1,0
105,7786,LMG00-01,150.0,,1.0,2000-01-11 13:24:00,600.180,600.09,180.06,-64.0889,-66.55838,-999.0,1722.8,2.15,128.48,0.01,33.24,0.02,-999.0,Matched bottle number based on closestt depth value from the log file. ,2000,1,0
106,7787,LMG00-01,158.0,,23.0,2000-01-11 16:24:00,600.200,600.12,199.84,-63.96578,-66.85597,100.0,3.2,1.5,41.72,0.18,23.41,0.96,-999.0,,2000,1,0
107,7788,LMG00-01,158.0,,21.0,2000-01-11 16:24:00,600.200,600.12,199.84,-63.96578,-66.85597,60.0,6.6,1.5,41.82,0.18,23.42,0.65,-999.0,,2000,1,0
108,7789,LMG00-01,158.0,,19.0,2000-01-11 16:24:00,600.200,600.12,199.84,-63.96578,-66.85597,30.0,15.4,1.52,41.92,0.18,23.38,0.74,-999.0,,2000,1,0
109,7790,LMG00-01,158.0,,17.0,2000-01-11 16:24:00,600.200,600.12,199.84,-63.96578,-66.85597,10.0,36.1,1.5,41.88,0.17,23.21,0.63,-999.0,,2000,1,0
110,7791,LMG00-01,158.0,,15.0,2000-01-11 16:24:00,600.200,600.12,199.84,-63.96578,-66.85597,5.0,50.4,1.56,41.12,0.12,23.56,0.78,-999.0,,2000,1,0
111,7792,LMG00-01,158.0,,14.0,2000-01-11 16:24:00,600.200,600.12,199.84,-63.96578,-66.85597,-999.0,59.4,1.73,49.82,0.12,26.27,0.56,-999.0,,2000,1,0
112,7793,LMG00-01,158.0,,11.0,2000-01-11 16:24:00,600.200,600.12,199.84,-63.96578,-66.85597,1.0,72.7,1.95,54.36,0.11,29.01,0.54,-999.0,,2000,1,0
113,7794,LMG00-01,158.0,,10.0,2000-01-11 16:24:00,600.200,600.12,199.84,-63.96578,-66.85597,-999.0,99.7,2.13,67.66,0.12,32.63,0.1,-999.0,,2000,1,0
114,7795,LMG00-01,158.0,,7.0,2000-01-11 16:24:00,600.200,600.12,199.84,-63.96578,-66.85597,-999.0,499.4,2.22,86.29,0.0,34.44,0.03,-999.0,Matched bottle number based on closestt depth value from the log file. ,2000,1,0
115,7796,LMG00-01,158.0,,6.0,2000-01-11 16:24:00,600.200,600.12,199.84,-63.96578,-66.85597,-999.0,998.7,2.17,91.86,0.0,33.69,0.01,-999.0,Matched bottle number based on closestt depth value from the log file. ,2000,1,0
116,7797,LMG00-01,158.0,,5.0,2000-01-11 16:24:00,600.200,600.12,199.84,-63.96578,-66.85597,-999.0,1998.5,2.19,122.93,0.0,33.32,0.05,-999.0,Matched bottle number based on closestt depth value from the log file. ,2000,1,0
117,7798,LMG00-01,158.0,,2.0,2000-01-11 16:24:00,600.200,600.12,199.84,-63.96578,-66.85597,-999.0,3045.9,2.2,125.48,0.0,33.67,0.05,-999.0,Matched bottle number based on closestt depth value from the log file. ,2000,1,0
118,7799,LMG00-01,158.0,,1.0,2000-01-11 16:24:00,600.200,600.12,199.84,-63.96578,-66.85597,-999.0,3047.1,2.23,136.7,0.0,33.83,0.04,-999.0,Matched bottle number based on closestt depth value from the log file. ,2000,1,0
119,7800,LMG00-01,171.0,,23.0,2000-01-11 22:41:00,600.220,600.07,219.94,-63.842,-67.15094,100.0,3.3,1.49,31.54,0.19,21.7,1.25,-999.0,,2000,1,0
120,7801,LMG00-01,171.0,,21.0,2000-01-11 22:41:00,600.220,600.07,219.94,-63.842,-67.15094,60.0,5.8,1.51,31.64,0.19,21.71,1.21,-999.0,,2000,1,0
121,7802,LMG00-01,171.0,,19.0,2000-01-11 22:41:00,600.220,600.07,219.94,-63.842,-67.15094,30.0,20.6,1.54,31.03,0.2,21.81,1.18,-999.0,,2000,1,0
122,7803,LMG00-01,171.0,,17.0,2000-01-11 22:41:00,600.220,600.07,219.94,-63.842,-67.15094,10.0,41.9,1.63,35.13,0.17,22.58,1.25,-999.0,,2000,1,0
123,7804,LMG00-01,171.0,,15.0,2000-01-11 22:41:00,600.220,600.07,219.94,-63.842,-67.15094,5.0,55.8,1.81,43.96,0.18,25.27,0.73,-999.0,,2000,1,0
124,7805,LMG00-01,171.0,,13.0,2000-01-11 22:41:00,600.220,600.07,219.94,-63.842,-67.15094,1.0,88.7,2.08,57.23,0.19,29.76,0.58,-999.0,,2000,1,0
125,7806,LMG00-01,171.0,,12.0,2000-01-11 22:41:00,600.220,600.07,219.94,-63.842,-67.15094,-999.0,185.5,2.22,78.99,0.04,35.86,0.05,-999.0,Matched bottle number based on closestt depth value from the log file. ,2000,1,0
126,7807,LMG00-01,171.0,,11.0,2000-01-11 22:41:00,600.220,600.07,219.94,-63.842,-67.15094,-999.0,299.2,2.18,84.4,0.01,35.0,0.04,-999.0,Matched bottle number based on closestt depth value from the log file. ,2000,1,0
127,7808,LMG00-01,171.0,,10.0,2000-01-11 22:41:00,600.220,600.07,219.94,-63.842,-67.15094,-999.0,398.9,2.15,87.53,0.01,34.21,0.03,-999.0,Matched bottle number based on closestt depth value from the log file. ,2000,1,0
128,7809,LMG00-01,171.0,,9.0,2000-01-11 22:41:00,600.220,600.07,219.94,-63.842,-67.15094,-999.0,1000.3,2.09,103.3,0.0,33.08,0.03,-999.0,Matched bottle number based on closestt depth value from the log file. ,2000,1,0
129,7810,LMG00-01,171.0,,8.0,2000-01-11 22:41:00,600.220,600.07,219.94,-63.842,-67.15094,-999.0,1499.8,2.11,115.06,0.0,33.14,0.04,-999.0,Matched bottle number based on closestt depth value from the log file. ,2000,1,0
130,7811,LMG00-01,171.0,,7.0,2000-01-11 22:41:00,600.220,600.07,219.94,-63.842,-67.15094,-999.0,2001.5,2.12,123.95,0.0,33.63,0.03,-999.0,Matched bottle number based on closestt depth value from the log file. ,2000,1,0
