"studyName","Date","Chlorophyll a (µg/l)"
"PAL-LTER Derived Datasets",1995-02-16,1.0404
"PAL-LTER Derived Datasets",1995-02-21,4.5256
"PAL-LTER Derived Datasets",1995-02-23,24.0364
"PAL-LTER Derived Datasets",1995-02-23,26.39
"PAL-LTER Derived Datasets",1995-02-27,1.5506
"PAL-LTER Derived Datasets",1995-11-16,9.2502
"PAL-LTER Derived Datasets",1995-11-20,16.922
"PAL-LTER Derived Datasets",1995-11-23,16.0366
"PAL-LTER Derived Datasets",1995-11-28,39.6998
"PAL-LTER Derived Datasets",1995-11-30,20.2678
"PAL-LTER Derived Datasets",1995-12-04,4.5334
"PAL-LTER Derived Datasets",1995-12-05,5.2498
"PAL-LTER Derived Datasets",1995-12-08,2.523
"PAL-LTER Derived Datasets",1995-12-16,6.0333
"PAL-LTER Derived Datasets",1995-12-26,4.2834
"PAL-LTER Derived Datasets",1996-01-02,2.2509
"PAL-LTER Derived Datasets",1996-01-04,2.1643
"PAL-LTER Derived Datasets",1996-02-15,5.4386
"PAL-LTER Derived Datasets",1996-02-21,2.3088
"PAL-LTER Derived Datasets",1996-02-23,1.256
"PAL-LTER Derived Datasets",1996-02-26,3.8577
"PAL-LTER Derived Datasets",1996-02-29,1.9224
"PAL-LTER Derived Datasets",1996-03-05,0.9027
"PAL-LTER Derived Datasets",1996-03-08,0.5765
"PAL-LTER Derived Datasets",1996-03-12,2.1666
"PAL-LTER Derived Datasets",1996-03-15,0.9351
"PAL-LTER Derived Datasets",1996-03-18,1.8928
"PAL-LTER Derived Datasets",1996-03-28,0.5949
"PAL-LTER Derived Datasets",1996-03-28,0.5125
"PAL-LTER Derived Datasets",1996-03-31,0.8641
"PAL-LTER Derived Datasets",1996-03-31,1.0157
"PAL-LTER Derived Datasets",1996-04-11,0.5837
"PAL-LTER Derived Datasets",1996-04-11,0.5306
"PAL-LTER Derived Datasets",1996-04-15,0.4073
"PAL-LTER Derived Datasets",1996-04-15,0.4347
"PAL-LTER Derived Datasets",1996-04-22,0.2616
"PAL-LTER Derived Datasets",1996-04-22,0.2563
"PAL-LTER Derived Datasets",1996-04-29,0.2479
"PAL-LTER Derived Datasets",1996-04-29,0.2624
"PAL-LTER Derived Datasets",1996-05-07,0.1869
"PAL-LTER Derived Datasets",1996-05-07,0.196
"PAL-LTER Derived Datasets",1996-05-14,0.2105
"PAL-LTER Derived Datasets",1996-05-14,0.1914
"PAL-LTER Derived Datasets",1996-05-21,0.1594
"PAL-LTER Derived Datasets",1996-05-21,0.1464
"PAL-LTER Derived Datasets",1996-05-29,0.0885
"PAL-LTER Derived Datasets",1996-05-29,0.1136
"PAL-LTER Derived Datasets",1996-06-05,0.1075
"PAL-LTER Derived Datasets",1996-06-05,0.1098
"PAL-LTER Derived Datasets",1996-06-12,0.1037
"PAL-LTER Derived Datasets",1996-06-12,0.106
"PAL-LTER Derived Datasets",1996-06-20,0.0961
"PAL-LTER Derived Datasets",1996-06-20,0.0885
"PAL-LTER Derived Datasets",1996-06-27,0.09
"PAL-LTER Derived Datasets",1996-06-27,0.0953
"PAL-LTER Derived Datasets",1996-07-01,0.0694
"PAL-LTER Derived Datasets",1996-07-01,0.0686
"PAL-LTER Derived Datasets",1996-07-08,0.151
"PAL-LTER Derived Datasets",1996-07-08,0.1487
"PAL-LTER Derived Datasets",1996-07-15,0.1152
"PAL-LTER Derived Datasets",1996-07-15,0.1083
"PAL-LTER Derived Datasets",1996-07-22,0.1251
"PAL-LTER Derived Datasets",1996-07-22,0.1197
"PAL-LTER Derived Datasets",1996-07-30,0.093
"PAL-LTER Derived Datasets",1996-07-30,0.0572
"PAL-LTER Derived Datasets",1996-08-06,0.1304
"PAL-LTER Derived Datasets",1996-08-06,0.1281
"PAL-LTER Derived Datasets",1996-08-13,0.6246
"PAL-LTER Derived Datasets",1996-08-13,0.6132
"PAL-LTER Derived Datasets",1996-10-14,0.2471
"PAL-LTER Derived Datasets",1996-10-14,0.2288
"PAL-LTER Derived Datasets",1996-11-02,0.3874
"PAL-LTER Derived Datasets",1996-11-02,0.4698
"PAL-LTER Derived Datasets",1996-11-09,0.7997
"PAL-LTER Derived Datasets",1996-11-09,0.7375
"PAL-LTER Derived Datasets",1996-11-18,1.0704
"PAL-LTER Derived Datasets",1996-11-18,1.093
"PAL-LTER Derived Datasets",1996-11-25,1.6275
"PAL-LTER Derived Datasets",1996-11-25,1.7028
"PAL-LTER Derived Datasets",1996-12-03,0.548
"PAL-LTER Derived Datasets",1996-12-03,0.5676
"PAL-LTER Derived Datasets",1996-12-11,0.1777
"PAL-LTER Derived Datasets",1996-12-11,0.1867
"PAL-LTER Derived Datasets",1996-12-17,1.1472
"PAL-LTER Derived Datasets",1996-12-17,1.081
"PAL-LTER Derived Datasets",1996-12-22,1.2481
"PAL-LTER Derived Datasets",1996-12-22,1.4077
"PAL-LTER Derived Datasets",1996-12-29,0.8657
"PAL-LTER Derived Datasets",1996-12-29,0.9094
"PAL-LTER Derived Datasets",1997-01-05,1.9422
"PAL-LTER Derived Datasets",1997-01-05,1.8669
"PAL-LTER Derived Datasets",1997-01-13,2.2282
"PAL-LTER Derived Datasets",1997-01-13,2.3186
"PAL-LTER Derived Datasets",1997-02-19,1.7402
"PAL-LTER Derived Datasets",1997-02-24,1.0782
"PAL-LTER Derived Datasets",1997-02-28,3.2755
"PAL-LTER Derived Datasets",1997-03-03,1.847
"PAL-LTER Derived Datasets",1997-03-08,2.3664
"PAL-LTER Derived Datasets",1997-03-13,2.6117
"PAL-LTER Derived Datasets",1997-03-18,0.4244
"PAL-LTER Derived Datasets",1997-04-15,0.5691
"PAL-LTER Derived Datasets",1997-04-15,0.5621
"PAL-LTER Derived Datasets",1997-04-26,0.3239
"PAL-LTER Derived Datasets",1997-04-26,0.3344
"PAL-LTER Derived Datasets",1997-05-07,0.2874
"PAL-LTER Derived Datasets",1997-05-07,0.2473
"PAL-LTER Derived Datasets",1997-05-14,0.2016
"PAL-LTER Derived Datasets",1997-05-14,0.1806
"PAL-LTER Derived Datasets",1997-05-21,0.1749
"PAL-LTER Derived Datasets",1997-05-21,0.1904
"PAL-LTER Derived Datasets",1997-05-27,0.1117
"PAL-LTER Derived Datasets",1997-05-27,0.104
"PAL-LTER Derived Datasets",1997-06-03,0.1349
"PAL-LTER Derived Datasets",1997-06-03,0.1349
"PAL-LTER Derived Datasets",1997-06-11,0.1447
"PAL-LTER Derived Datasets",1997-06-11,0.1377
"PAL-LTER Derived Datasets",1997-06-18,0.1012
"PAL-LTER Derived Datasets",1997-06-18,0.1054
"PAL-LTER Derived Datasets",1997-06-25,0.0794
"PAL-LTER Derived Datasets",1997-06-25,0.0815
"PAL-LTER Derived Datasets",1997-07-02,0.0977
"PAL-LTER Derived Datasets",1997-07-02,0.0977
"PAL-LTER Derived Datasets",1997-07-08,0.0548
"PAL-LTER Derived Datasets",1997-07-08,0.0562
"PAL-LTER Derived Datasets",1997-07-15,0.0682
"PAL-LTER Derived Datasets",1997-07-15,0.066
"PAL-LTER Derived Datasets",1997-07-22,0.0766
"PAL-LTER Derived Datasets",1997-07-22,0.0752
"PAL-LTER Derived Datasets",1997-07-30,0.0843
"PAL-LTER Derived Datasets",1997-07-30,0.0773
"PAL-LTER Derived Datasets",1997-08-06,0.0843
"PAL-LTER Derived Datasets",1997-08-06,0.0836
"PAL-LTER Derived Datasets",1997-08-12,0.0745
"PAL-LTER Derived Datasets",1997-08-12,0.0731
"PAL-LTER Derived Datasets",1997-08-19,0.1089
"PAL-LTER Derived Datasets",1997-08-19,0.1033
"PAL-LTER Derived Datasets",1997-08-26,0.1237
"PAL-LTER Derived Datasets",1997-08-26,0.1342
"PAL-LTER Derived Datasets",1997-09-02,0.1447
"PAL-LTER Derived Datasets",1997-09-02,0.1342
"PAL-LTER Derived Datasets",1997-09-09,0.1166
"PAL-LTER Derived Datasets",1997-09-09,0.1145
"PAL-LTER Derived Datasets",1997-09-17,0.0941
"PAL-LTER Derived Datasets",1997-09-17,0.0913
"PAL-LTER Derived Datasets",1997-09-24,0.0927
"PAL-LTER Derived Datasets",1997-09-24,0.0906
"PAL-LTER Derived Datasets",1997-09-24,0.0885
"PAL-LTER Derived Datasets",1997-09-24,0.092
"PAL-LTER Derived Datasets",1997-10-03,0.0815
"PAL-LTER Derived Datasets",1997-10-03,0.0843
"PAL-LTER Derived Datasets",1997-10-09,0.1258
"PAL-LTER Derived Datasets",1997-10-09,0.1208
"PAL-LTER Derived Datasets",1997-10-09,0.1286
"PAL-LTER Derived Datasets",1997-10-09,0.1279
"PAL-LTER Derived Datasets",1997-10-14,0.2094
"PAL-LTER Derived Datasets",1997-10-14,0.2164
"PAL-LTER Derived Datasets",1997-10-14,0.2136
"PAL-LTER Derived Datasets",1997-10-14,0.2115
"PAL-LTER Derived Datasets",1997-10-18,0.2881
"PAL-LTER Derived Datasets",1997-10-18,0.2895
"PAL-LTER Derived Datasets",1997-10-21,0.3112
"PAL-LTER Derived Datasets",1997-10-21,0.2389
"PAL-LTER Derived Datasets",1997-10-21,0.2923
"PAL-LTER Derived Datasets",1997-10-21,0.3098
"PAL-LTER Derived Datasets",1997-10-25,0.3239
"PAL-LTER Derived Datasets",1997-10-25,0.3084
"PAL-LTER Derived Datasets",1997-10-29,0.371
"PAL-LTER Derived Datasets",1997-10-29,0.3935
"PAL-LTER Derived Datasets",1997-10-29,0.4405
"PAL-LTER Derived Datasets",1997-10-29,0.4166
"PAL-LTER Derived Datasets",1997-11-10,0.678
"PAL-LTER Derived Datasets",1997-11-10,0.6808
"PAL-LTER Derived Datasets",1997-11-13,0.3091
"PAL-LTER Derived Datasets",1997-11-13,0.3176
"PAL-LTER Derived Datasets",1997-11-19,0.8597
"PAL-LTER Derived Datasets",1997-11-19,0.8582
"PAL-LTER Derived Datasets",1997-11-19,0.8928
"PAL-LTER Derived Datasets",1997-11-19,0.8853
"PAL-LTER Derived Datasets",1997-11-23,0.5811
"PAL-LTER Derived Datasets",1997-11-23,0.6609
"PAL-LTER Derived Datasets",1997-11-26,1.6682
"PAL-LTER Derived Datasets",1997-11-26,1.8819
"PAL-LTER Derived Datasets",1997-11-26,1.6862
"PAL-LTER Derived Datasets",1997-11-26,1.5808
"PAL-LTER Derived Datasets",1997-12-03,0.2951
"PAL-LTER Derived Datasets",1997-12-03,0.2921
"PAL-LTER Derived Datasets",1997-12-08,0.2258
"PAL-LTER Derived Datasets",1997-12-08,0.1807
"PAL-LTER Derived Datasets",1997-12-12,0.4712
"PAL-LTER Derived Datasets",1997-12-12,0.5089
"PAL-LTER Derived Datasets",1997-12-17,1.0659
"PAL-LTER Derived Datasets",1997-12-17,1.2135
"PAL-LTER Derived Datasets",1997-12-17,1.1728
"PAL-LTER Derived Datasets",1997-12-17,1.1653
"PAL-LTER Derived Datasets",1997-12-22,3.0111
"PAL-LTER Derived Datasets",1997-12-22,2.8003
"PAL-LTER Derived Datasets",1997-12-28,1.0238
"PAL-LTER Derived Datasets",1997-12-28,0.9771
"PAL-LTER Derived Datasets",1998-01-04,10.1324
"PAL-LTER Derived Datasets",1998-01-04,10.8701
"PAL-LTER Derived Datasets",1998-01-09,1.8518
"PAL-LTER Derived Datasets",1998-01-09,1.8669
"PAL-LTER Derived Datasets",1998-01-14,2.8154
"PAL-LTER Derived Datasets",1998-01-14,2.9358
"PAL-LTER Derived Datasets",1998-01-22,0.6022
"PAL-LTER Derived Datasets",1998-01-22,0.6323
"PAL-LTER Derived Datasets",1998-01-30,0.730731623
"PAL-LTER Derived Datasets",1998-01-30,0.702174295
"PAL-LTER Derived Datasets",1998-02-06,1.629447527
"PAL-LTER Derived Datasets",1998-02-06,1.629447527
"PAL-LTER Derived Datasets",1998-02-15,1.696641239
"PAL-LTER Derived Datasets",1998-02-15,1.763834951
"PAL-LTER Derived Datasets",1998-02-20,1.679842811
"PAL-LTER Derived Datasets",1998-02-20,1.629447527
"PAL-LTER Derived Datasets",1998-03-01,1.20108761
"PAL-LTER Derived Datasets",1998-03-01,1.211166667
"PAL-LTER Derived Datasets",1998-03-08,2.066206657
"PAL-LTER Derived Datasets",1998-03-08,2.116601942
"PAL-LTER Derived Datasets",1998-03-13,1.384190476
"PAL-LTER Derived Datasets",1998-03-13,1.520257744
"PAL-LTER Derived Datasets",1998-03-20,0.327569348
"PAL-LTER Derived Datasets",1998-03-20,0.319170134
"PAL-LTER Derived Datasets",1998-03-27,0.545948914
"PAL-LTER Derived Datasets",1998-03-27,0.550988442
"PAL-LTER Derived Datasets",1998-04-03,0.722332409
"PAL-LTER Derived Datasets",1998-04-03,0.710573509
"PAL-LTER Derived Datasets",1998-04-09,0.680336338
"PAL-LTER Derived Datasets",1998-04-09,0.62154184
"PAL-LTER Derived Datasets",1998-04-16,0.571146556
"PAL-LTER Derived Datasets",1998-04-16,0.537549699
"PAL-LTER Derived Datasets",1998-04-22,0.56778687
"PAL-LTER Derived Datasets",1998-04-22,0.584585298
"PAL-LTER Derived Datasets",1998-04-30,0.411561489
"PAL-LTER Derived Datasets",1998-04-30,0.446838188
"PAL-LTER Derived Datasets",1998-05-02,0.340168169
"PAL-LTER Derived Datasets",1998-05-02,0.348567383
"PAL-LTER Derived Datasets",1998-05-07,0.260375636
"PAL-LTER Derived Datasets",1998-05-07,0.283053514
"PAL-LTER Derived Datasets",1998-05-14,0.255336107
"PAL-LTER Derived Datasets",1998-05-14,0.248616736
"PAL-LTER Derived Datasets",1998-05-24,0.128507975
"PAL-LTER Derived Datasets",1998-05-24,0.141946718
"PAL-LTER Derived Datasets",1998-05-28,0.277174064
"PAL-LTER Derived Datasets",1998-05-28,0.293972492
"PAL-LTER Derived Datasets",1998-06-06,0.182262945
"PAL-LTER Derived Datasets",1998-06-06,0.194021845
"PAL-LTER Derived Datasets",1998-06-14,0.165464517
"PAL-LTER Derived Datasets",1998-06-14,0.159585067
"PAL-LTER Derived Datasets",1998-06-21,0.134387425
"PAL-LTER Derived Datasets",1998-06-21,0.134387425
"PAL-LTER Derived Datasets",1998-06-27,0.115909154
"PAL-LTER Derived Datasets",1998-06-27,0.117588997
"PAL-LTER Derived Datasets",1998-07-04,0.110869626
"PAL-LTER Derived Datasets",1998-07-11,0.104150254
"PAL-LTER Derived Datasets",1998-07-11,0.111709547
"PAL-LTER Derived Datasets",1998-07-18,0.13774711
"PAL-LTER Derived Datasets",1998-07-18,0.136907189
"PAL-LTER Derived Datasets",1998-08-04,0.148666089
"PAL-LTER Derived Datasets",1998-08-04,0.148666089
"PAL-LTER Derived Datasets",1998-08-08,0.188142395
"PAL-LTER Derived Datasets",1998-08-08,0.19150208
"PAL-LTER Derived Datasets",1998-08-16,0.141946718
"PAL-LTER Derived Datasets",1998-08-16,0.152025774
"PAL-LTER Derived Datasets",1998-08-23,0.156225381
"PAL-LTER Derived Datasets",1998-08-23,0.14950601
"PAL-LTER Derived Datasets",1998-08-31,0.19150208
"PAL-LTER Derived Datasets",1998-08-31,0.194021845
"PAL-LTER Derived Datasets",1998-09-07,0.195701687
"PAL-LTER Derived Datasets",1998-09-07,0.194861766
"PAL-LTER Derived Datasets",1998-09-13,0.246096972
"PAL-LTER Derived Datasets",1998-09-13,0.156225381
"PAL-LTER Derived Datasets",1998-09-19,0.175717897
"PAL-LTER Derived Datasets",1998-09-19,0.174830433
"PAL-LTER Derived Datasets",1998-09-26,0.231628137
"PAL-LTER Derived Datasets",1998-09-26,0.239171582
"PAL-LTER Derived Datasets",1998-10-04,0.244496367
"PAL-LTER Derived Datasets",1998-10-04,0.269345362
"PAL-LTER Derived Datasets",1998-10-12,0.265795506
"PAL-LTER Derived Datasets",1998-10-12,0.272451487
"PAL-LTER Derived Datasets",1998-10-21,0.29241943
"PAL-LTER Derived Datasets",1998-10-21,0.323480674
"PAL-LTER Derived Datasets",1998-10-25,0.104990176
"PAL-LTER Derived Datasets",1998-10-25,0.11338939
"PAL-LTER Derived Datasets",1998-10-27,0.384715699
"PAL-LTER Derived Datasets",1998-10-27,0.367410148
"PAL-LTER Derived Datasets",1998-11-02,0.505382497
"PAL-LTER Derived Datasets",1998-11-02,0.523603835
"PAL-LTER Derived Datasets",1998-11-10,1.049901757
"PAL-LTER Derived Datasets",1998-11-10,1.075099399
"PAL-LTER Derived Datasets",1998-11-17,2.259388581
"PAL-LTER Derived Datasets",1998-11-17,2.208993296
"PAL-LTER Derived Datasets",1998-11-24,0.612302705
"PAL-LTER Derived Datasets",1998-11-24,0.636660425
"PAL-LTER Derived Datasets",1998-11-30,0.809684235
"PAL-LTER Derived Datasets",1998-11-30,0.706373902
"PAL-LTER Derived Datasets",1998-12-17,0.275
"PAL-LTER Derived Datasets",1998-12-17,0.2994
"PAL-LTER Derived Datasets",1998-12-22,0.8379
"PAL-LTER Derived Datasets",1998-12-22,0.8119
"PAL-LTER Derived Datasets",1998-12-27,0.5176
"PAL-LTER Derived Datasets",1998-12-27,0.5389
"PAL-LTER Derived Datasets",1998-12-30,0.8905
"PAL-LTER Derived Datasets",1998-12-30,0.8476
"PAL-LTER Derived Datasets",1999-01-02,1.1771
"PAL-LTER Derived Datasets",1999-01-02,1.1643
"PAL-LTER Derived Datasets",1999-02-16,0.9355
"PAL-LTER Derived Datasets",1999-02-16,1.1326
"PAL-LTER Derived Datasets",1999-02-19,1.4486
"PAL-LTER Derived Datasets",1999-02-19,1.5187
"PAL-LTER Derived Datasets",1999-02-22,0.1838
"PAL-LTER Derived Datasets",1999-02-26,1.1078
"PAL-LTER Derived Datasets",1999-02-26,1.1856
"PAL-LTER Derived Datasets",1999-03-02,0.4935
"PAL-LTER Derived Datasets",1999-03-02,0.478
"PAL-LTER Derived Datasets",1999-03-15,0.525730294
"PAL-LTER Derived Datasets",1999-03-15,0.521633694
"PAL-LTER Derived Datasets",1999-03-29,0.323631376
"PAL-LTER Derived Datasets",1999-03-29,0.315438176
"PAL-LTER Derived Datasets",1999-04-07,0.469686336
"PAL-LTER Derived Datasets",1999-04-07,0.473207223
"PAL-LTER Derived Datasets",1999-04-12,0.338005159
"PAL-LTER Derived Datasets",1999-04-12,0.35138453
"PAL-LTER Derived Datasets",1999-04-19,0.249278805
"PAL-LTER Derived Datasets",1999-04-19,0.246462095
"PAL-LTER Derived Datasets",1999-04-27,0.233786902
"PAL-LTER Derived Datasets",1999-04-27,0.227449305
"PAL-LTER Derived Datasets",1999-05-05,0.233082724
"PAL-LTER Derived Datasets",1999-05-05,0.216182466
"PAL-LTER Derived Datasets",1999-05-10,0.230970192
"PAL-LTER Derived Datasets",1999-05-10,0.234491079
"PAL-LTER Derived Datasets",1999-05-20,0.152102322
"PAL-LTER Derived Datasets",1999-05-20,0.147877257
"PAL-LTER Derived Datasets",1999-05-24,0.121822693
"PAL-LTER Derived Datasets",1999-05-24,0.119005983
"PAL-LTER Derived Datasets",1999-05-31,0.126751935
"PAL-LTER Derived Datasets",1999-05-31,0.126047757
"PAL-LTER Derived Datasets",1999-06-07,0.105626612
"PAL-LTER Derived Datasets",1999-06-07,0.102809903
"PAL-LTER Derived Datasets",1999-06-18,0.069009387
"PAL-LTER Derived Datasets",1999-06-18,0.072530274
"PAL-LTER Derived Datasets",1999-06-22,0.071826096
"PAL-LTER Derived Datasets",1999-06-22,0.070417741
"PAL-LTER Derived Datasets",1999-06-28,0.045771532
"PAL-LTER Derived Datasets",1999-06-28,0.043659
"PAL-LTER Derived Datasets",1999-07-05,0.053517484
"PAL-LTER Derived Datasets",1999-07-05,0.052109129
"PAL-LTER Derived Datasets",1999-07-13,0.10633079
"PAL-LTER Derived Datasets",1999-07-13,0.10633079
"PAL-LTER Derived Datasets",1999-07-20,0.04084229
"PAL-LTER Derived Datasets",1999-07-20,0.064784322
"PAL-LTER Derived Datasets",1999-07-26,0.05985508
"PAL-LTER Derived Datasets",1999-07-26,0.061967613
"PAL-LTER Derived Datasets",1999-08-03,0.08450129
"PAL-LTER Derived Datasets",1999-08-03,0.090838887
"PAL-LTER Derived Datasets",1999-08-09,0.073234451
"PAL-LTER Derived Datasets",1999-08-09,0.070417741
"PAL-LTER Derived Datasets",1999-08-16,0.121822693
"PAL-LTER Derived Datasets",1999-08-16,0.121822693
"PAL-LTER Derived Datasets",1999-08-22,0.080458249
"PAL-LTER Derived Datasets",1999-08-22,0.080458249
"PAL-LTER Derived Datasets",1999-08-30,0.08884726
"PAL-LTER Derived Datasets",1999-08-30,0.087703304
"PAL-LTER Derived Datasets",1999-09-06,0.128504406
"PAL-LTER Derived Datasets",1999-09-06,0.125072538
"PAL-LTER Derived Datasets",1999-09-12,0.104862646
"PAL-LTER Derived Datasets",1999-09-12,0.095329678
"PAL-LTER Derived Datasets",1999-09-20,0.276456067
